Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL244773,,None,495.45,1,5.47,11,Cc1cccnc1-c1ccc(C(=O)NC/C=C/CN2CCN(c3cccc(Cl)c3Cl)CC2)cc1,IC50,'=',368,nM,6.43,,,UO_0000065,,,,,1,CHEMBL895651,Antagonist activity at human dopamine D2 receptor expressed in HEK293 cells by mitogenesis assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148745,1,Scientific Literature,J Med Chem,2007,CHEMBL3307715,
CHEMBL8514,BUTACLAMOL,-1.0,361.53,0,4.84,(+)-Butaclamol,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,IC50,'=',0.81,nM,9.09,,,UO_0000065,25.15,0.46,4.25,38.74,0,CHEMBL4001156,Displacement of [3H]methyl-spiperone from human recombinant D2S receptor in HEK293 cells after 60 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4000185,1,Scientific Literature,J Med Chem,2017,CHEMBL3307715,
CHEMBL42,CLOZAPINE,4.0,326.83,0,3.72,1,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,IC50,'=',204.17,nM,6.69,,,UO_0000065,20.47,0.4,2.97,21.67,0,CHEMBL2020816,Inhibition of human dopamine D2L receptor expressed in intact CHO FlpIn cells assessed as inhibition of receptor-mediated mediated ERK1/2 phosphorylation by Alpha-Screen plate-based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2016514,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,
CHEMBL3805099,,None,442.56,0,3.78,24,CNC(=O)c1cc(OCCCCN2CCN(c3nsc4ccccc34)CC2)ccc1F,IC50,'=',12,nM,7.92,,,UO_0000065,,,,,0,CHEMBL3806800,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Ultra Lance cAMP assay,F,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804825,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3805165,,None,447.48,0,3.35,27,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc4c3OC(F)(F)O4)CC2)c1,IC50,'=',4.1,nM,8.39,,,UO_0000065,,,,,0,CHEMBL3806800,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Ultra Lance cAMP assay,F,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804825,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL107742,,None,363.5,0,3.09,59,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4CC3C)CC2)cc1,IC50,'=',188,nM,6.73,,,UO_0000065,18.5,0.34,3.64,25.11,0,CHEMBL872217,Inhibitory concentration against dopamine receptor D2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140446,1,Scientific Literature,J Med Chem,2005,None,
CHEMBL2057453,,None,311.38,0,3.06,19a,COc1ccc2c(c1)C[C@H]1c3cc(O)c(OC)cc3CCN1C2,IC50,'=',873.14,nM,6.06,,,UO_0000065,19.46,0.36,3,14.45,0,CHEMBL2060922,Displacement of [3H]Spiprone from human dopamine D2 receptor expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2057072,1,Scientific Literature,Bioorg Med Chem,2012,CHEMBL3307715,
CHEMBL1202225,,None,442.23,0,4.92,5i,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,IC50,'=',32,nM,7.5,,,UO_0000065,20.74,0.43,2.57,115.66,0,CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133592,1,Scientific Literature,J Med Chem,2000,None,
CHEMBL1202209,,None,405.36,0,4.06,5q,Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,IC50,'=',68,nM,7.17,,,UO_0000065,22.09,0.41,3.11,110.61,0,CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133592,1,Scientific Literature,J Med Chem,2000,None,
CHEMBL4519087,,None,377.49,0,3.62,94,Cc1ccc(OCCN2CCN(C(=O)c3cc4ccccc4[nH]3)CC2)cc1C,IC50,'=',13000,nM,4.89,,,UO_0000065,,,,,0,CHEMBL4406527,Antagonist activity at human D2R expressed in CHOK1 cells assessed as inhibition of dopamine-induced beta-arrestin recruitment measured after 120 mins by beta-galactosidase based PathHunter assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4402608,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL14376,ILOPERIDONE,4.0,426.49,0,4.83,45,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,IC50,'=',110,nM,6.96,,,UO_0000065,16.32,0.31,2.13,10.74,0,CHEMBL671343,Binding affinity against Dopamine receptor D2 was determined using [ [3H]-spiperone radioligand,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1128281,1,Scientific Literature,J Med Chem,1995,None,
CHEMBL180010,,None,481.43,1,5.16,24 (trans),O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,IC50,'=',80.9,nM,7.09,,,UO_0000065,,,,,1,CHEMBL827419,Mitogenic stimulation or antagonism of 30 nM quinpirole-stimulated mitogenesis in CHO cells expressing human dopamine D2 receptor,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1139520,1,Scientific Literature,J Med Chem,2005,CHEMBL3308072,
CHEMBL1203257,,None,330.86,0,2.4,5z,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,IC50,'=',766,nM,6.12,,,UO_0000065,20.77,0.38,3.72,18.96,0,CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133592,1,Scientific Literature,J Med Chem,2000,None,
CHEMBL3805559,,None,425.5,0,4.37,21,CNC(=O)c1cccc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,IC50,'=',8.5,nM,8.07,,,UO_0000065,,,,,0,CHEMBL3806800,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Ultra Lance cAMP assay,F,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804825,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
